Region,Catchment,Transect,Transectcode,UTM_X,UTM_Y,Land-useclass,Forest type,Productiontype,LU_FT_Code,Bird_LU_FT_Code,ReasonsforGeneralexceptions,Generalexceptions,Catchmentexceptions,no_insectsample,no_birdsample,LU_change,Buffersize(pixels),reg_age,reg_fire,reg_fire_age,NumberLogC,NumberBurnC,deg_full,def_age,total_arable,EDGE2_DIST_MEAN,ed1_1km,foresttype1_1km,UPF_foresttype1_1km,MF_FCCP_500mbuffer,CANOPY,DUFF,SPECIES,AGB_Trees10,AGB_DeadTREES10,AGB_CWD,AGB_FWD,AGB_LeafLitter,UND_DEN,WOOD_DEN,DAMAGED,pH_ALL,SILT_ALL,CLAY_ALL,C_0_30,C_N,PC1soilnutALL,PC2soilnutALL,PC1soilnutFOR,PC2soilnutFOR,PC1soilnutPF,PC2soilnutPF,PC1soilnutOPEN,PC2soilnutOPEN,ELEV_MEAN,SLOPE_MEAN
STM,165,5,165_5,721102,9688036,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,79,NA,NA,NA,1,1,0,NA,NA,195.4,4.52,97.37,99.02,0.02,4.58,8.8,99,514.89,1.65,16.35,2.07,6.11,2800,0.66,12,4.02,193.87,769.33,104.9,15.12,1.35,-1.94,1.72,1.22,1.52,1.09,NA,NA,163.8,3.59
STM,165,6,165_6,719122,9687188,Primary_forest,Burnt,,PFbur,PFbur,,,,,,,76,NA,NA,NA,0,1,26.56,NA,NA,188.8,9.66,93.47,98.88,-0.02,8.14,2.33,89,224.94,0.62,20.97,1.28,8.71,2640,0.7,13,4.04,28.91,61.82,31.52,15.36,1.01,0.32,-0.67,1.09,-1.42,1.11,NA,NA,36.5,7.9
STM,165,7,165_7,719954,9686492,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,73,NA,NA,NA,1,1,0,NA,NA,304.6,2.61,98.65,99.67,0.02,7.34,1.02,111,151.97,2.19,11.86,1.95,7.18,3840,0.67,40,4.2,58.93,120,24.16,14.61,1.26,0.37,-0.85,1.18,-1.47,1.08,NA,NA,48.1,7.72
STM,165,8,165_8,720093,9688348,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,Mixed PF and SF ,1,,,,,76,NA,NA,NA,NA,NA,43.14,NA,NA,58.1,11.3,92.83,98.04,-0.03,9.3,2.18,71,58.07,0.11,22.01,2.16,6.53,4540,0.32,18,3.95,88.8,129.33,26.06,13.52,1.82,0.71,-1.59,1.6,-2.23,1.15,NA,NA,78.3,7.56
STM,199,1,199_1,745172,9685319,Mechanisd_agriculture,,,MA,MA,,,,,,,79,NA,NA,NA,NA,NA,NA,>20,1,834.4,14.48,12.24,16.43,0.29,100,0,0,0,0,0,0,0,0,0,0,4.35,81.2,382.67,32.17,12.84,-0.22,-0.05,NA,NA,NA,NA,-1.08,-0.94,59.6,1.84
STM,199,2,199_2,743450,9684486,Mechanisd_agriculture,,,MA,MA,,,,,,,81,NA,NA,NA,NA,NA,NA,>20,0,529.7,20.96,35.58,5.17,0.2,100,NA,0,0,0,0,NA,#VALUE!,0,0,0,4.35,81.2,382.67,32.17,12.84,-0.22,-0.05,NA,NA,NA,NA,-1.08,-0.94,74.5,1.3
STM,199,3,199_3,740797,9684553,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,1,,,,79,NA,NA,NA,1,1,14.29,NA,NA,34.7,23.62,60.58,59.01,0.12,7.47,1.95,114,186.79,2.35,62.17,2.48,10.4,2800,0.6,36,3.91,94.4,356,33.85,12.48,1,-0.19,0,0.97,-0.5,0.79,NA,NA,117.5,7.23
STM,199,4,199_4,746022,9683367,Secondary_forest,Young,,SFyoung,SFyoung,,,,,,,77,4,0,0,NA,NA,NA,>20,2,304.5,29.58,34.1,48.5,0.3,100,0.27,8,2.98,0,0,0,6.69,1480,0.3,0,4.54,143.6,673.33,36.81,10.98,-0.06,0.63,-0.75,-1.01,NA,NA,NA,NA,72.3,5.15
STM,199,5,199_5,744503,9682364,Pasture,,,PA,PA,,,,,,,80,NA,NA,NA,NA,NA,NA,>20,0,642.5,17.34,17.7,14.35,0.35,100,0,1,0,0,0.13,0,0,0,0.39,0,4.65,112.27,376,39.39,12.08,0.75,1.84,NA,NA,NA,NA,-1.53,0.83,68.2,1.9
STM,199,6,199_6,743859,9680563,Secondary_forest,Old,,SFold,SFold,,,,,,,79,>20,0,0,NA,NA,NA,>20,NA,313.6,23.09,44.95,14,0.17,8.12,1.96,83,114.56,0.26,9.23,2.2,9.29,3160,0.56,32,3.86,190.73,708,53.85,12.35,1.45,-0.24,-0.5,0.82,NA,NA,NA,NA,94.9,4.13
