,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
1,Abaremacochleata,20,Trees,0.9 +/- 0.06,0.9 +/- 0.1,93.75 +/- 10.98,94.86 +/- 4.63,0.24 +/- 0.2,1,TRUE
2,Abaremafloribunda,2,Trees,NA,NA,NA,NA,NA,1,FALSE
3,Abaremajupunba,30,Trees,0.9 +/- 0.04,0.8 +/- 0.06,88.89 +/- 8.13,93.26 +/- 8.68,0.28 +/- 0.21,1,TRUE
4,Abaremamataybifolia,46,Trees,0.9 +/- 0.04,0.8 +/- 0.09,89.9 +/- 8.94,92.14 +/- 6.8,0.17 +/- 0.13,1,TRUE
5,Abaremapiresii,1,Trees,NA,NA,NA,NA,NA,1,FALSE
6,Abaremasp,1,Trees,NA,NA,NA,NA,NA,1,FALSE
7,Aburriacujubi,6,Birds,1 +/- 0.05,1 +/- 0.07,100 +/- 0,96.09 +/- 7.24,0.31 +/- 0.13,1,FALSE
8,Abutagrandifolia,21,Trees,0.9 +/- 0.05,0.9 +/- 0.11,93.06 +/- 11.36,92.72 +/- 8.38,0.2 +/- 0.15,1,TRUE
9,Abutapanurensis,2,Trees,NA,NA,NA,NA,NA,1,FALSE
10,Abutarufescens,7,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.96 +/- 5.65,0.33 +/- 0.09,1,FALSE
11,Abutasandwithiana,3,Trees,NA,NA,NA,NA,NA,1,FALSE
12,Abutasolimoesensis,1,Trees,NA,NA,NA,NA,NA,1,FALSE
13,Accipitersuperciliosus,1,Birds,NA,NA,NA,NA,NA,1,FALSE
14,Adenocalymmaallamandiflorum,53,Trees,0.9 +/- 0.04,0.8 +/- 0.06,86.97 +/- 7.8,93.57 +/- 5.28,0.17 +/- 0.08,1,TRUE
15,Adenocalymmabracteosum,21,Trees,1 +/- 0.05,1 +/- 0.09,96.71 +/- 8.56,98.85 +/- 1.76,0.3 +/- 0.15,1,TRUE
16,Adenocalymmaimpressum,3,Trees,NA,NA,NA,NA,NA,1,FALSE
17,Adenocalymmaneoflavidum,94,Trees,0.9 +/- 0.02,0.7 +/- 0.04,85.34 +/- 9.27,88.84 +/- 8.65,0.16 +/- 0.11,1,TRUE
18,Adenocalymmaschomburgkii,27,Trees,0.9 +/- 0.04,0.8 +/- 0.08,97.14 +/- 7.17,84.22 +/- 9.12,0.15 +/- 0.1,1,TRUE
19,Adenocalymmasp,11,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,94.84 +/- 8.74,0.31 +/- 0.22,1,TRUE
20,Adenocalymmasp1,1,Trees,NA,NA,NA,NA,NA,1,FALSE
21,Adenocalymmasubincanum,19,Trees,0.9 +/- 0.05,0.9 +/- 0.1,95.97 +/- 9.35,89.92 +/- 10.2,0.23 +/- 0.2,1,TRUE
22,Adenocalymmatanaeciicarpum,16,Trees,1 +/- 0.02,0.9 +/- 0.07,100 +/- 0,94.66 +/- 6.86,0.29 +/- 0.19,1,TRUE
23,Aegiphilaintegrifolia,17,Trees,0.9 +/- 0.04,0.9 +/- 0.08,100 +/- 0,88.43 +/- 8.08,0.22 +/- 0.16,1,TRUE
24,Agonandrabrasiliensis,10,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.71 +/- 7.37,0.4 +/- 0.21,1,TRUE
25,Aioueaguianensis,3,Trees,NA,NA,NA,NA,NA,1,FALSE
26,Aioueamyristicoides,3,Trees,NA,NA,NA,NA,NA,1,FALSE
27,Aioueasaligna,1,Trees,NA,NA,NA,NA,NA,1,FALSE
28,Aioueasp,3,Trees,NA,NA,NA,NA,NA,1,FALSE
29,Aioueatrinervis,2,Trees,NA,NA,NA,NA,NA,1,FALSE
30,Albiziapedicellaris,11,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,91.13 +/- 9.31,0.28 +/- 0.23,1,TRUE
31,Alchorneopsisfloribunda,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.05 +/- 5.94,0.39 +/- 0.17,1,FALSE
32,Alexagrandiflora,35,Trees,1 +/- 0.04,0.9 +/- 0.09,92.7 +/- 8.94,96.8 +/- 4.74,0.26 +/- 0.17,1,TRUE
33,Alibertiaedulis,13,Trees,0.9 +/- 0.03,0.8 +/- 0.04,100 +/- 0,79.67 +/- 4.28,0.07 +/- 0.04,1,TRUE
34,Alibertiasorbilis,1,Trees,NA,NA,NA,NA,NA,1,FALSE
35,Allophylusfloribundus,5,Trees,0.9 +/- 0.07,0.9 +/- 0.08,100 +/- 0,93.78 +/- 8.28,0.23 +/- 0.12,1,TRUE
36,Amaiouacorymbosa,3,Trees,NA,NA,NA,NA,NA,1,FALSE
37,Amaiouaguianensis,30,Trees,0.9 +/- 0.02,0.8 +/- 0.05,89.68 +/- 8.29,89.02 +/- 9.78,0.17 +/- 0.17,1,TRUE
38,Amazonafarinosa,92,Birds,0.9 +/- 0.04,0.8 +/- 0.05,86.22 +/- 7.54,93.44 +/- 5.55,0.2 +/- 0.24,1,TRUE
39,Amazonaochrocephala,34,Birds,0.9 +/- 0.04,0.8 +/- 0.06,85.71 +/- 10.1,92.25 +/- 9.59,0.23 +/- 0.17,1,TRUE
40,Ambelaniaacida,37,Trees,0.9 +/- 0.05,0.8 +/- 0.07,89.16 +/- 8.24,90.65 +/- 8.25,0.24 +/- 0.23,1,TRUE
41,Ampeloceraedentula,17,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,91.12 +/- 8.32,0.17 +/- 0.18,1,TRUE
42,Ampelozizyphusamazonicus,4,Trees,NA,NA,NA,NA,NA,1,FALSE
43,Amphiodoneffusus,149,Trees,0.9 +/- 0.02,0.7 +/- 0.05,83.1 +/- 6.23,84.21 +/- 6.13,0.09 +/- 0.05,1,TRUE
44,Amphirrhoxlongifolia,27,Trees,0.9 +/- 0.06,0.9 +/- 0.1,89.44 +/- 10.13,96.86 +/- 3.22,0.23 +/- 0.09,1,TRUE
45,Amphirrhoxsp,2,Trees,NA,NA,NA,NA,NA,1,FALSE
46,Anacardiumgiganteum,4,Trees,NA,NA,NA,NA,NA,1,FALSE
47,Anacardiumparvifolium,8,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,94.24 +/- 7.73,0.32 +/- 0.16,1,TRUE
48,Anacardiumspruceanum,5,Trees,1 +/- 0.07,1 +/- 0.07,100 +/- 0,92.95 +/- 21.41,0.36 +/- 0.14,1,FALSE
49,Anaxagoreabrevipes,13,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,97.19 +/- 3.82,0.33 +/- 0.17,1,TRUE
50,Anaxagoreaprinoides,5,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,96.49 +/- 6.12,0.33 +/- 0.12,1,FALSE
51,Anaxagoreasp,1,Trees,NA,NA,NA,NA,NA,1,FALSE
52,Ancistropsstrigilatus,7,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.24 +/- 6.63,0.34 +/- 0.1,1,FALSE
53,Anibaburchellii,3,Trees,NA,NA,NA,NA,NA,1,FALSE
54,Anibacanelilla,15,Trees,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.15 +/- 2.82,0.31 +/- 0.11,1,TRUE
55,Anibacitrifolia,1,Trees,NA,NA,NA,NA,NA,1,FALSE
56,Anibaguianensis,17,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,86.63 +/- 9.51,0.11 +/- 0.07,1,TRUE
57,Anibahostmanniana,2,Trees,NA,NA,NA,NA,NA,1,FALSE
58,Anibakappleri,2,Trees,NA,NA,NA,NA,NA,1,FALSE
59,Anibamegaphylla,12,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.18 +/- 6.5,0.31 +/- 0.18,1,TRUE
60,Anibaparviflora,3,Trees,NA,NA,NA,NA,NA,1,FALSE
61,Anibariparia,4,Trees,NA,NA,NA,NA,NA,1,FALSE
62,Anibarosaeodora,3,Trees,NA,NA,NA,NA,NA,1,FALSE
63,Anibawilliamsii,11,Trees,0.9 +/- 0.07,0.9 +/- 0.1,100 +/- 0,90.73 +/- 9.66,0.33 +/- 0.26,1,TRUE
64,Annonaambotay,4,Trees,NA,NA,NA,NA,NA,1,FALSE
65,Annonadensicoma,34,Trees,0.9 +/- 0.05,0.8 +/- 0.1,87.91 +/- 9.64,93.92 +/- 5.94,0.23 +/- 0.18,1,TRUE
66,Annonaexsucca,136,Trees,0.9 +/- 0.04,0.7 +/- 0.05,84.6 +/- 8.84,81.94 +/- 8.87,0.13 +/- 0.05,1,TRUE
67,Annonatenuipes,17,Trees,0.9 +/- 0.04,0.9 +/- 0.1,100 +/- 0,85.04 +/- 9.97,0.23 +/- 0.25,1,TRUE
68,Anodorhynchushyacinthinus,1,Birds,NA,NA,NA,NA,NA,1,FALSE
69,Anomalocalyxsp,1,Trees,NA,NA,NA,NA,NA,1,FALSE
70,Anomospermumreticulatum,1,Trees,NA,NA,NA,NA,NA,1,FALSE
71,Antrostomussericocaudatus,6,Birds,1 +/- 0.04,1 +/- 0.06,100 +/- 0,97.33 +/- 6.07,0.33 +/- 0.1,1,FALSE
72,Aparisthmiumcordatum,38,Trees,0.9 +/- 0.03,0.8 +/- 0.08,90.34 +/- 10.16,88.48 +/- 10.32,0.16 +/- 0.09,1,TRUE
73,Apeibaechinata,53,Trees,0.9 +/- 0.05,0.8 +/- 0.07,87.66 +/- 10.27,91.4 +/- 5.99,0.18 +/- 0.21,1,TRUE
74,Apeibaglabra,63,Trees,0.9 +/- 0.02,0.8 +/- 0.04,92.31 +/- 7.17,84.27 +/- 7.56,0.14 +/- 0.1,1,TRUE
75,Apeibatibourbou,36,Trees,0.9 +/- 0.02,0.8 +/- 0.06,98.81 +/- 4.03,83.78 +/- 6.34,0.15 +/- 0.06,1,TRUE
76,Apuleialeiocarpa,19,Trees,0.9 +/- 0.06,0.9 +/- 0.09,93.24 +/- 11.26,91.86 +/- 6.52,0.27 +/- 0.18,1,TRUE
77,Arachloropterus,27,Birds,0.9 +/- 0.05,0.8 +/- 0.1,86.67 +/- 9.66,94.7 +/- 3.99,0.17 +/- 0.11,1,TRUE
78,Aramacao,23,Birds,0.9 +/- 0.04,0.8 +/- 0.06,90 +/- 10.69,87.77 +/- 7.61,0.16 +/- 0.09,1,TRUE
79,Aramidescajeana,2,Birds,NA,NA,NA,NA,NA,1,FALSE
80,Araseverus,42,Birds,0.9 +/- 0.03,0.8 +/- 0.05,97.58 +/- 5.97,81.07 +/- 6.99,0.12 +/- 0.1,1,TRUE
81,Aristolochiaguentheri,2,Trees,NA,NA,NA,NA,NA,2,FALSE
82,Arremontaciturnus,28,Birds,0.9 +/- 0.05,0.7 +/- 0.09,92.03 +/- 11.09,78.38 +/- 11.39,0.17 +/- 0.16,2,Excluded
83,Aspidospermacarapanauba,6,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,98.06 +/- 4.7,0.32 +/- 0.08,2,FALSE
84,Aspidospermadesmanthum,18,Trees,1 +/- 0.05,0.9 +/- 0.1,93.57 +/- 11.09,94.76 +/- 6.02,0.18 +/- 0.13,2,TRUE
85,Aspidospermaeteanum,18,Trees,0.9 +/- 0.06,0.8 +/- 0.07,91.67 +/- 12.31,88.66 +/- 8.25,0.09 +/- 0.06,2,TRUE
86,Aspidospermaexcelsum,12,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,91.94 +/- 8.89,0.24 +/- 0.19,2,TRUE
87,Aspidospermaoblongum,1,Trees,NA,NA,NA,NA,NA,2,FALSE
88,Aspidospermasandwithianum,2,Trees,NA,NA,NA,NA,NA,2,FALSE
89,Astrocaryumaculeatum,24,Trees,0.9 +/- 0.06,0.9 +/- 0.1,88.26 +/- 9.96,97.42 +/- 2.95,0.22 +/- 0.11,2,TRUE
90,Astrocaryumgynacanthum,149,Trees,0.9 +/- 0.03,0.7 +/- 0.05,82.83 +/- 7.73,83.49 +/- 16.63,0.1 +/- 0.06,2,TRUE
91,Astroniumgracile,32,Trees,1 +/- 0.04,0.9 +/- 0.08,94.3 +/- 8.01,93.09 +/- 5.21,0.17 +/- 0.12,2,TRUE
92,Astroniumlecointei,18,Trees,0.9 +/- 0.06,0.8 +/- 0.09,86.96 +/- 12.77,92.8 +/- 8.78,0.26 +/- 0.18,2,TRUE
93,Attaleabutyracea,1,Trees,NA,NA,NA,NA,NA,2,FALSE
94,Attaleamaripa,75,Trees,0.9 +/- 0.04,0.8 +/- 0.07,89.33 +/- 8.14,91.21 +/- 5.94,0.18 +/- 0.12,2,TRUE
95,Attaleaspeciosa,24,Trees,1 +/- 0.04,0.9 +/- 0.09,96.41 +/- 7.78,92.28 +/- 16.1,0.23 +/- 0.13,2,TRUE
96,Attaleaspectabilis,6,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,97.17 +/- 6.1,0.33 +/- 0.12,2,FALSE
97,Attilacinnamomeus,8,Birds,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,92.64 +/- 7.38,0.2 +/- 0.14,2,TRUE
98,Attilaspadiceus,72,Birds,1 +/- 0.03,0.8 +/- 0.07,92.42 +/- 9.09,91.01 +/- 5.05,0.13 +/- 0.07,2,TRUE
99,Automolusochrolaemus,7,Birds,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.42 +/- 6.73,0.29 +/- 0.12,2,FALSE
100,Automolusparaensis,31,Birds,1 +/- 0.04,0.9 +/- 0.08,93.97 +/- 8.09,95.21 +/- 5.82,0.22 +/- 0.15,2,TRUE
101,Bactrisacanthocarpa,54,Trees,1 +/- 0.02,0.8 +/- 0.08,89.72 +/- 8.8,90.76 +/- 9.81,0.23 +/- 0.2,2,TRUE
102,Bactriselegans,2,Trees,NA,NA,NA,NA,NA,2,FALSE
103,Bactrismaraja,2,Trees,NA,NA,NA,NA,NA,2,FALSE
104,Bactrissp,2,Trees,NA,NA,NA,NA,NA,2,FALSE
105,Bagassaguianensis,49,Trees,0.8 +/- 0.05,0.6 +/- 0.08,86.13 +/- 13.08,75.88 +/- 12.23,0.11 +/- 0.1,2,Excluded
106,Banisteriopsissp1,4,Trees,NA,NA,NA,NA,NA,2,FALSE
107,Banisteriopsiswurdackii,19,Trees,1 +/- 0.06,0.9 +/- 0.08,97.22 +/- 7.93,97.71 +/- 4.43,0.35 +/- 0.18,2,TRUE
108,Baryphthengusmartii,4,Birds,NA,NA,NA,NA,NA,2,FALSE
109,Batocarpusamazonicus,10,Trees,0.9 +/- 0.06,0.9 +/- 0.08,100 +/- 0,90.27 +/- 7.9,0.23 +/- 0.13,2,TRUE
110,Bauhiniaacreana,13,Trees,0.9 +/- 0.05,0.8 +/- 0.06,100 +/- 0,83.24 +/- 6.56,0.14 +/- 0.08,2,TRUE
111,Bauhiniaguianensis,126,Trees,0.9 +/- 0.02,0.7 +/- 0.05,83.53 +/- 7.8,85.61 +/- 10.44,0.12 +/- 0.11,2,TRUE
112,Bauhiniamorta,5,Trees,1 +/- 0.06,1 +/- 0.07,100 +/- 0,97.08 +/- 6.9,0.29 +/- 0.2,2,FALSE
113,Bauhiniaplatypetala,1,Trees,NA,NA,NA,NA,NA,2,FALSE
114,Bauhiniasp1,1,Trees,NA,NA,NA,NA,NA,2,FALSE
115,Belluciadichotoma,5,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,96.97 +/- 6.37,0.42 +/- 0.24,2,FALSE
116,Belluciagrossularioides,87,Trees,0.9 +/- 0.03,0.7 +/- 0.04,84.76 +/- 11.14,82.27 +/- 9.88,0.15 +/- 0.09,2,TRUE
117,Bertholletiaexcelsa,29,Trees,1 +/- 0.03,0.9 +/- 0.07,98.04 +/- 5.45,91.54 +/- 6.45,0.18 +/- 0.11,2,TRUE
118,Bignoniaaequinoctialis,8,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,98.28 +/- 3.85,0.34 +/- 0.09,2,FALSE
119,Bignoniabinata,6,Trees,0.9 +/- 0.07,0.9 +/- 0.08,100 +/- 0,92.86 +/- 8.84,0.33 +/- 0.23,2,TRUE
120,Bignoniaprieurei,3,Trees,NA,NA,NA,NA,NA,2,FALSE
121,Bixaarborea,10,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,96.22 +/- 4.47,0.25 +/- 0.14,2,TRUE
122,Bixaexcelsa,2,Trees,NA,NA,NA,NA,NA,2,FALSE
123,Bocageopsismultiflora,35,Trees,1 +/- 0.03,0.9 +/- 0.08,96.79 +/- 6.02,94.76 +/- 6.88,0.22 +/- 0.14,2,TRUE
124,Bowdichianitida,26,Trees,0.9 +/- 0.06,0.8 +/- 0.09,95.83 +/- 8.3,87.01 +/- 9.55,0.18 +/- 0.18,2,TRUE
125,Brosimumacutifolium,40,Trees,1 +/- 0.03,0.8 +/- 0.07,91.91 +/- 9.17,89.81 +/- 9.69,0.23 +/- 0.26,2,TRUE
126,Brosimumguianense,106,Trees,0.9 +/- 0.02,0.8 +/- 0.04,89.42 +/- 6.38,88.5 +/- 6.41,0.12 +/- 0.07,2,TRUE
127,Brosimumlactescens,14,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.76 +/- 7.87,0.2 +/- 0.14,2,TRUE
128,Brosimumparinarioides,15,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,90.57 +/- 7.24,0.16 +/- 0.15,2,TRUE
129,Brosimumpotabile,2,Trees,NA,NA,NA,NA,NA,2,FALSE
130,Brosimumrubescens,45,Trees,1 +/- 0.04,0.9 +/- 0.08,89.74 +/- 7.89,97.62 +/- 4.42,0.31 +/- 0.17,2,TRUE
131,Brosimumsp,1,Trees,NA,NA,NA,NA,NA,2,FALSE
132,Brotogerischrysoptera,71,Birds,0.9 +/- 0.03,0.8 +/- 0.05,87.56 +/- 9.4,91.05 +/- 9.79,0.24 +/- 0.24,2,TRUE
133,Brunfelsiagrandiflora,1,Trees,NA,NA,NA,NA,NA,2,FALSE
134,Buccocapensis,31,Birds,0.9 +/- 0.05,0.9 +/- 0.08,89.03 +/- 8.01,97.76 +/- 5.74,0.41 +/- 0.19,2,TRUE
135,Buccotamatia,13,Birds,0.9 +/- 0.05,0.8 +/- 0.07,100 +/- 0,84.23 +/- 7.45,0.17 +/- 0.14,2,TRUE
136,Buchenaviagrandis,12,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.17 +/- 6.77,0.28 +/- 0.13,2,TRUE
137,Buchenaviamacrophylla,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.29 +/- 7.84,0.31 +/- 0.1,2,FALSE
138,Buchenaviaparvifolia,13,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,95.45 +/- 5.13,0.22 +/- 0.17,2,TRUE
139,Buchenaviatetraphylla,4,Trees,NA,NA,NA,NA,NA,2,FALSE
140,Byrsonimaaerugo,49,Trees,0.9 +/- 0.03,0.7 +/- 0.06,91.5 +/- 8.75,79.73 +/- 8.75,0.1 +/- 0.04,2,TRUE
141,Byrsonimacrispa,28,Trees,0.9 +/- 0.04,0.8 +/- 0.08,95.7 +/- 8.57,80.15 +/- 9.92,0.11 +/- 0.07,2,TRUE
142,Byrsonimadensa,20,Trees,0.9 +/- 0.04,0.8 +/- 0.08,93.75 +/- 11.57,88.69 +/- 7.6,0.27 +/- 0.16,2,TRUE
143,Byrsonimasp,3,Trees,NA,NA,NA,NA,NA,2,FALSE
144,Byrsonimastipulacea,35,Trees,0.9 +/- 0.03,0.8 +/- 0.08,95.24 +/- 6.93,84.14 +/- 8.47,0.11 +/- 0.06,2,TRUE
145,Cacicuscela,50,Birds,0.9 +/- 0.03,0.7 +/- 0.05,80 +/- 8.45,85.62 +/- 11.11,0.16 +/- 0.11,2,TRUE
146,Cacicushaemorrhous,13,Birds,1 +/- 0.02,0.9 +/- 0.06,100 +/- 0,91.22 +/- 15.93,0.23 +/- 0.15,2,TRUE
147,Calliandrasurinamensis,8,Trees,0.9 +/- 0.06,0.9 +/- 0.08,100 +/- 0,87.67 +/- 7.86,0.34 +/- 0.22,2,TRUE
148,Callichlamyslatifolia,10,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.69 +/- 7.12,0.31 +/- 0.15,2,TRUE
149,Calyptranthesamshoffae,2,Trees,NA,NA,NA,NA,NA,2,FALSE
150,Calyptranthesbipennis,11,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97 +/- 4.61,0.35 +/- 0.15,2,TRUE
151,Calyptranthesmacrophylla,4,Trees,NA,NA,NA,NA,NA,2,FALSE
152,Calyptranthesmultiflora,5,Trees,1 +/- 0.07,0.9 +/- 0.08,100 +/- 0,94.08 +/- 8.52,0.29 +/- 0.12,2,TRUE
153,Calyptranthessp1,5,Trees,0.9 +/- 0.06,0.9 +/- 0.09,100 +/- 0,91.43 +/- 8.79,0.23 +/- 0.16,2,TRUE
154,Calyptranthesspeciosa,1,Trees,NA,NA,NA,NA,NA,2,FALSE
155,Campephilusrubricollis,51,Birds,0.9 +/- 0.03,0.8 +/- 0.06,92.31 +/- 8.63,90 +/- 8.01,0.14 +/- 0.08,2,TRUE
156,Campomanesiaaromatica,11,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,88.37 +/- 9.48,0.25 +/- 0.21,2,TRUE
157,Campylopteruslargipennis,29,Birds,0.9 +/- 0.03,0.8 +/- 0.06,95.1 +/- 7.83,83.06 +/- 9.35,0.12 +/- 0.09,2,TRUE
158,Campylorhamphusprocurvoides,6,Birds,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.92 +/- 4.76,0.34 +/- 0.09,2,FALSE
159,Campylorhynchusturdinus,12,Birds,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,89.3 +/- 15.63,0.27 +/- 0.23,2,TRUE
160,Candolleodendronbrachystachyum,19,Trees,1 +/- 0.05,0.9 +/- 0.1,95.24 +/- 9.94,92.35 +/- 8.07,0.2 +/- 0.16,2,TRUE
161,Capironadecorticans,8,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.45 +/- 6.65,0.3 +/- 0.13,3,FALSE
162,Capparisnectaria,7,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.52 +/- 7.25,0.36 +/- 0.13,3,FALSE
163,Caraipadensifolia,13,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,87.82 +/- 9.6,0.22 +/- 0.21,3,TRUE
164,Carapaguianensis,29,Trees,1 +/- 0.04,0.9 +/- 0.08,95.08 +/- 7.69,94.86 +/- 4.85,0.2 +/- 0.16,3,TRUE
165,Carinianamicrantha,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.6 +/- 7.05,0.32 +/- 0.08,3,FALSE
166,Caryocarglabrum,16,Trees,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,91.6 +/- 9.39,0.21 +/- 0.16,3,TRUE
167,Caryocarvillosum,16,Trees,0.9 +/- 0.05,0.8 +/- 0.09,100 +/- 0,84.84 +/- 8.74,0.24 +/- 0.22,3,TRUE
168,Caryomenefoveolata,1,Trees,NA,NA,NA,NA,NA,3,FALSE
169,Caryothraustescanadensis,37,Birds,0.9 +/- 0.04,0.7 +/- 0.09,88.69 +/- 11.13,82.48 +/- 11.55,0.13 +/- 0.08,3,Excluded
170,Caseariaarborea,70,Trees,0.9 +/- 0.03,0.7 +/- 0.08,84.24 +/- 8.4,86.6 +/- 8.26,0.16 +/- 0.08,3,TRUE
171,Caseariacombaymensis,10,Trees,0.9 +/- 0.05,0.9 +/- 0.08,100 +/- 0,86.84 +/- 16.66,0.28 +/- 0.17,3,TRUE
172,Caseariacommersoniana,14,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,94.76 +/- 7.94,0.26 +/- 0.18,3,TRUE
173,Caseariadecandra,54,Trees,0.9 +/- 0.04,0.7 +/- 0.07,87.88 +/- 10.58,77.68 +/- 17.41,0.09 +/- 0.06,3,TRUE
174,Caseariagrandiflora,32,Trees,0.9 +/- 0.03,0.8 +/- 0.07,93.52 +/- 8.36,86.06 +/- 7.46,0.24 +/- 0.15,3,TRUE
175,Caseariajavitensis,97,Trees,1 +/- 0.02,0.8 +/- 0.06,90.23 +/- 7.26,90.6 +/- 5.24,0.15 +/- 0.1,3,TRUE
176,Caseariapitumba,20,Trees,1 +/- 0.04,0.9 +/- 0.08,97.37 +/- 7.78,90.26 +/- 7.6,0.24 +/- 0.15,3,TRUE
177,Caseariasp,5,Trees,1 +/- 0.05,0.9 +/- 0.07,100 +/- 0,94 +/- 6.88,0.25 +/- 0.09,3,TRUE
178,Casimirellaampla,24,Trees,0.9 +/- 0.03,0.8 +/- 0.07,94.07 +/- 9.31,87.58 +/- 9.24,0.12 +/- 0.1,3,TRUE
179,Cassiafastuosa,40,Trees,0.9 +/- 0.04,0.7 +/- 0.08,96.12 +/- 7.55,76.69 +/- 8.03,0.1 +/- 0.08,3,TRUE
180,Cassipoureaguianensis,14,Trees,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,94.25 +/- 8.67,0.32 +/- 0.14,3,TRUE
181,Castillaulei,23,Trees,1 +/- 0.05,0.9 +/- 0.09,92.97 +/- 9.68,95.01 +/- 5.7,0.22 +/- 0.18,3,TRUE
182,Cathartesmelambrotus,11,Birds,0.9 +/- 0.05,0.8 +/- 0.09,100 +/- 0,83.02 +/- 8.71,0.32 +/- 0.19,3,TRUE
183,Cathedraacuminata,2,Trees,NA,NA,NA,NA,NA,3,FALSE
184,Cecropiadistachya,114,Trees,0.9 +/- 0.05,0.7 +/- 0.08,84.33 +/- 11.72,83.55 +/- 11.65,0.14 +/- 0.08,3,TRUE
185,Cecropiamorta,47,Trees,0.8 +/- 0.05,0.6 +/- 0.09,82.22 +/- 13.24,77.68 +/- 10.59,0.12 +/- 0.08,3,Excluded
186,Cecropiaobtusa,37,Trees,0.9 +/- 0.03,0.8 +/- 0.06,92.86 +/- 11.23,86.5 +/- 9.12,0.12 +/- 0.08,3,TRUE
187,Cecropiapalmata,121,Trees,0.8 +/- 0.04,0.5 +/- 0.07,72.53 +/- 11.14,80.69 +/- 10.29,0.13 +/- 0.1,3,Excluded
188,Cecropiasciadophylla,91,Trees,0.9 +/- 0.03,0.8 +/- 0.05,90.66 +/- 8.97,86.82 +/- 7.66,0.15 +/- 0.18,3,TRUE
189,Celeuselegans,10,Birds,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,93.72 +/- 6.55,0.25 +/- 0.06,3,TRUE
190,Celeusflavus,13,Birds,1 +/- 0.02,1 +/- 0.06,100 +/- 0,95.07 +/- 6.36,0.2 +/- 0.14,3,TRUE
191,Celeusgrammicus,18,Birds,1 +/- 0.05,0.9 +/- 0.1,95.69 +/- 9.53,98.45 +/- 3.03,0.33 +/- 0.13,3,TRUE
192,Celeustorquatus,8,Birds,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,93.89 +/- 7.85,0.23 +/- 0.13,3,TRUE
193,Celeusundatus,20,Birds,1 +/- 0.03,0.9 +/- 0.1,96 +/- 9.35,91.5 +/- 8.45,0.23 +/- 0.16,3,TRUE
194,Celtisiguanaea,4,Trees,NA,NA,NA,NA,NA,3,FALSE
195,Cercomacracinerascens,156,Birds,0.9 +/- 0.02,0.8 +/- 0.04,88.13 +/- 7.43,87.6 +/- 7.65,0.12 +/- 0.06,3,TRUE
196,Cercomacranigrescens,24,Birds,0.9 +/- 0.04,0.8 +/- 0.08,92.97 +/- 9.68,89.81 +/- 9.52,0.23 +/- 0.15,3,TRUE
197,Chaeturabrachyura,73,Birds,0.7 +/- 0.05,0.5 +/- 0.08,78.71 +/- 13.16,67.94 +/- 11.63,0.09 +/- 0.06,3,Excluded
