,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
808,Phaethornissuperciliosus,85,Birds,0.9 +/- 0.03,0.8 +/- 0.07,88.24 +/- 8.49,89.97 +/- 6.11,0.13 +/- 0.08,11,TRUE
809,Phaethornisunknown,49,Birds,1 +/- 0.03,0.9 +/- 0.06,96.25 +/- 6.6,92.53 +/- 4.39,0.18 +/- 0.07,11,TRUE
810,Phaneracoronata,7,Trees,1 +/- 0.07,0.9 +/- 0.09,100 +/- 0,94.46 +/- 8.63,0.37 +/- 0.17,11,TRUE
811,Phaneracupreonitens,29,Trees,1 +/- 0.03,0.9 +/- 0.08,91.89 +/- 8.45,93.58 +/- 6.83,0.23 +/- 0.11,11,TRUE
812,Phanerarutilans,35,Trees,1 +/- 0.04,0.9 +/- 0.09,91.43 +/- 8.25,94.34 +/- 7.46,0.34 +/- 0.22,11,TRUE
813,Phanerasiqueiraei,13,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,89.38 +/- 7.95,0.21 +/- 0.19,11,TRUE
814,Phanerasplendens,28,Trees,0.9 +/- 0.04,0.8 +/- 0.08,94.87 +/- 7.84,87.56 +/- 7.25,0.16 +/- 0.11,11,TRUE
815,Pheugopediuscoraya,86,Birds,0.9 +/- 0.04,0.8 +/- 0.07,92.28 +/- 9.38,87.82 +/- 5.33,0.1 +/- 0.06,11,TRUE
816,Pheugopediusgenibarbis,103,Birds,0.9 +/- 0.04,0.7 +/- 0.06,84.62 +/- 9.15,82.81 +/- 9.2,0.16 +/- 0.14,11,TRUE
817,Philydorerythrocercum,26,Birds,1 +/- 0.05,0.9 +/- 0.1,92.5 +/- 9.84,96.83 +/- 6.41,0.4 +/- 0.21,11,TRUE
818,Philydorerythropterum,9,Birds,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.44 +/- 7.27,0.28 +/- 0.16,11,TRUE
819,Philydorruficaudatum,14,Birds,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,88.21 +/- 10.31,0.15 +/- 0.18,11,TRUE
820,Phlegopsisnigromaculata,34,Birds,0.9 +/- 0.04,0.8 +/- 0.08,87.68 +/- 7.37,95.66 +/- 4.69,0.23 +/- 0.14,11,TRUE
821,Phoenicircuscarnifex,11,Birds,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.55 +/- 5.8,0.35 +/- 0.13,11,TRUE
822,Phylloscartesvirescens,5,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.83 +/- 6.79,0.36 +/- 0.12,11,FALSE
823,Piayacayana,89,Birds,0.8 +/- 0.03,0.5 +/- 0.06,76.94 +/- 11.46,76.86 +/- 12.22,0.13 +/- 0.09,11,Excluded
824,Piayamelanogaster,8,Birds,1 +/- 0.02,1 +/- 0.04,100 +/- 0,98.09 +/- 4.23,0.34 +/- 0.1,11,FALSE
825,Picramniajuniniana,4,Trees,NA,NA,NA,NA,NA,11,FALSE
826,Piculuschrysochloros,7,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.07 +/- 6.89,0.33 +/- 0.09,11,FALSE
827,Piculusflavigula,28,Birds,0.9 +/- 0.04,0.8 +/- 0.06,93.21 +/- 8.35,87.95 +/- 6.81,0.13 +/- 0.09,11,TRUE
828,Picumnusaurifrons,8,Birds,0.9 +/- 0.04,0.9 +/- 0.07,100 +/- 0,86.25 +/- 7.52,0.24 +/- 0.16,11,TRUE
829,Pionitesleucogaster,21,Birds,1 +/- 0.06,0.9 +/- 0.12,94.12 +/- 10.93,96.74 +/- 8.45,0.44 +/- 0.16,11,TRUE
830,Pionusfuscus,54,Birds,0.9 +/- 0.02,0.8 +/- 0.06,88.81 +/- 9.93,86.48 +/- 10.1,0.18 +/- 0.18,11,TRUE
831,Pionusmenstruus,126,Birds,0.8 +/- 0.04,0.6 +/- 0.05,63.76 +/- 7.1,92.58 +/- 5.26,0.16 +/- 0.07,11,Excluded
832,Piprarubrocapilla,99,Birds,0.9 +/- 0.03,0.8 +/- 0.05,91.67 +/- 7.72,84.52 +/- 10.03,0.12 +/- 0.11,11,TRUE
833,Pipriteschloris,29,Birds,0.9 +/- 0.04,0.8 +/- 0.08,89.32 +/- 8.1,95.4 +/- 6.9,0.28 +/- 0.18,11,TRUE
834,Piptadeniaminutiflora,4,Trees,NA,NA,NA,NA,NA,11,FALSE
835,Piptadeniauaupensis,14,Trees,1 +/- 0.02,1 +/- 0.07,100 +/- 0,95.51 +/- 7.01,0.27 +/- 0.16,11,TRUE
836,Pithecellobiumlanceolatum,3,Trees,NA,NA,NA,NA,NA,11,FALSE
837,Platymisciumtrinitatis,17,Trees,0.9 +/- 0.04,0.9 +/- 0.07,100 +/- 0,85.79 +/- 7.37,0.21 +/- 0.15,11,TRUE
838,Platyrinchusplatyrhynchos,23,Birds,1 +/- 0.06,0.9 +/- 0.09,93.75 +/- 9.37,98.48 +/- 2.38,0.35 +/- 0.13,11,TRUE
839,Platyrinchussaturatus,7,Birds,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.28 +/- 7.34,0.35 +/- 0.1,11,FALSE
