ID,Binomial,Group,Nrec,mtry,ntree,TP,FP,TN,FN,ROC,distriver,distroad,DPFpx,edgedist,edgels,edgepx,elevation,meanprecips,meantemps,MFls,SFAgepx,SFls,TSDls,UPFpx,method,Shape_Area,Shape_Area_scaled
78,Aspidospermacarapanauba,Trees,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6815202312771.31,0.834313028859987
79,Aspidospermadesmanthum,Trees,18,3,200,16,2,80,0,1,0.00757766450960344,0.0113309711580746,0.00749080226002299,0.179352690985439,0.0656914688133718,0.02225616001421,0.0147199001114398,0.00162149755079581,0,0.295439657261696,0.000472365615984538,0.00692240279014333,1,0.541695647996163,SDM,12145232901502.3,0.705514711001312
80,Aspidospermaeteanum,Trees,18,3,150,16,2,90,0,1,0.014882399240172,0.0158959353038523,0.00903210452538833,0.13183669526115,0.0211462643298728,0.0181707052990503,0.0092172701470263,0,0.0422118107654113,0.17454571579804,0.0185234108997026,0.0246214884344656,1,0.683245635288323,SDM,3832666387818.55,0.906384962349293
81,Aspidospermaexcelsum,Trees,12,3,100,11,1,55,0,1,0.00843576223686691,0.0313244038306037,0.018995212869029,0.288345259643638,0.0707563279044417,0.0045423335121591,0.0214801904752768,0,0.0134750830277094,0.332737783073149,0.00873525675415212,0.0128239115345718,1,0.819667045634675,SDM,8820832163208.89,0.785847687679833
82,Aspidospermaoblongum,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,1349544239552.57,0.966388737263918
83,Aspidospermasandwithianum,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,439323805604.832,0.988383894481388
84,Astrocaryumaculeatum,Trees,24,6,450,19,5,120,0,0.865740740740741,0.00235145735758139,1.77694943551178E-05,0.013156465435744,0.0582417788406717,0.0855145873211158,0.00684851346973414,0.0165722001831559,0,0.00743404972504695,0.154666172199162,0.0115180387151385,0.0221212827513258,1,0.144196312592,SDM,10239587465900.2,0.75156396390045
85,Astrocaryumgynacanthum,Trees,149,12,500,118,31,741,4,0.950405022837112,0.00962672984285236,0.0172947134428955,0.00672346736391383,0.0360862019974577,0.026341050323703,0,0.0145408626675339,0.00940820230186224,0.0212913905813716,0.0689199886581956,0.11748245259218,0.0603454243949704,1,0.229280836111624,SDM,10239587465900.2,0.75156396390045
86,Astroniumgracile,Trees,32,10,100,28,4,149,1,0.987073412698413,0.00442436975087796,0.00936908037025864,0.0122623144338297,0.0157611754684456,0.0433473030958215,0.0027299405612661,0.00598658605184897,0,0.00606026185798296,0.0338668855431964,0.00526353876831363,0.0126760619550198,1,0.086625402380888,SDM,15569357313551.8,0.622771946758414
87,Astroniumlecointei,Trees,18,3,300,13,5,79,1,0.970125,0,0.11234926056288,0.0289949731594514,0.749581831170332,0.185967854309681,0.0519064395158083,0.054076189879081,0.0164141481288513,0.0228905381496639,0.372421623174324,0.0446176476387752,0.106093357607757,1,0.961486457952437,SDM,11553321673173.4,0.719818038020037
88,Attaleabutyracea,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,10111858177060,0.754650497320855
89,Attaleaspectabilis,Trees,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,3832666387818.55,0.906384962349293
90,Attilaspadiceus,Birds,72,3,1450,64,8,358,2,0.996527423469388,0,0.0289384487381001,0.0205582593611903,0.444055504036311,0.0467289515851244,0.0186215858324488,0.00669151040885081,0.00946956662959783,0.0121407479516053,0.169629941283466,0.0355160895188547,0.0405332945705611,1,0.441748857957622,SDM,666.055127135357,0.447158119589942
91,Automolusochrolaemus,Birds,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,526.805070228761,0.564633972957785
92,Automolusparaensis,Birds,31,3,100,29,2,155,0,1,0.0231597970416519,0.0663766101870899,0.00772126911512099,0.12495299489953,0.0766940286205716,0,0.00126937295313651,0.00660444838078062,0.0362837271043732,0.209853558969596,0.0835137183275839,0.0626885955106974,1,0.648981301298764,SDM,136.53294586525,0.893880164117602
93,Bactrisacanthocarpa,Trees,54,3,150,47,7,270,0,0.966,0.0258435812593041,0.022346622162919,0.0271712166365201,0.193171517207144,0.0391679474057016,0,0.0156563840196801,0.0104682474137088,0.0236372506454421,0.157461358538682,0.0551576225594559,0.0642746794513466,1,0.422759372454997,SDM,11400000000000,0.723523002422635
94,Bactrismaraja,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,10676776849152.8,0.740999435946772
95,Banisteriopsiswurdackii,Trees,19,3,100,19,0,95,0,1,0.0354447407349972,0.0164552247368059,0.0351911613519856,0.174168791514764,0.0386178148678574,0.00904069825526249,0.0295208291083455,0,0.0198510261999654,0.0511888837003964,0.0283132675300979,0.0678601410467059,1,0.681910037701277,SDM,11865428910687.7,0.712276076203091
96,Baryphthengusmartii,Birds,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,265.884200387458,0.784755260711708
97,Bauhiniadubia,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6990000000000,0.830089104117747
98,Bauhiniaguianensis,Trees,126,3,450,99,27,627,3,0.947227322270883,0,0.0367598445696134,0.0455095384676773,0.315084580670157,0.0583585647716656,0.0168420374555321,0.00999291675250099,0.0110276607957826,0.043780602663974,0.235552604968396,0.0760553554774176,0.106186461217243,1,0.348308597609374,SDM,14165822929490.6,0.656687862383006
99,Bauhiniamacrostachya,Trees,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,15500000000000,0.624447941889766
100,Bauhiniaplatypetala,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,8071586998855.72,0.803952934024284
101,Bauhiniascandens,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,13200000000000,0.680026634383814
102,Belluciadichotoma,Trees,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,4919197081483.07,0.880129329606456
