"Region","Catchment","Transect","Transectcode","UTM_X","UTM_Y","LU_FT_Code","AGB_Trees10","carbon_stock","non_zero","Longitude","Latitude","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","propertysize","SFAgepx","SFls","TSDls","UPFpx"
"PGM","245",7,"245_7",297767.67,9652598.35,"SFinter","78.63",39.315,1,-46.8198214498133,-3.14142737762657,61250.5703125,1201.32531738281,1750.28259277344,0,48.3800048828125,0.317551016807556,0,86.9198837280273,141.375503540039,196.37614440918,0.973061203956604,1479.22143554688,14.8888893127441,0.622040808200836,121.136329650879,0.222222223877907
"PGM","245",8,"245_8",298238.49,9654685.23,"PFlog","281.65",140.825,1,-46.8155536185704,-3.12256423132283,61200.25390625,281.692749023438,1426.02941894531,0,536.550170898438,0.109387755393982,0,90,141.895782470703,195.342727661133,0.963265299797058,5200.88037109375,2.66666674613953,0.0987755134701729,264.597564697266,0.777777791023254
"PGM","245",9,"245_9",296453.71,9652962.42,"PFlog","235.29",117.645,1,-46.831635548469,-3.13811456084029,59884.984375,1192.00244140625,1288.77233886719,0,336.357635498047,0.233469381928444,0.111111111938953,90,141.102432250977,196.448089599609,0.987755119800568,5200.88037109375,0,0.281632661819458,215.451431274414,1
"PGM","269",1,"269_1",210197.65,9649157.65,"PFlogbur","186.77",93.385,1,-47.6074461614775,-3.1708465694406,33842.66796875,1889.97827148438,163.943756103516,1,147.24348449707,0.169795915484428,0,149.987991333008,134.739303588867,197.07795715332,0.742040812969208,894.479736328125,0,0.222040817141533,91.2726516723633,0
"PGM","269",10,"269_10",207162.58,9643733.4,"PFlog","217.8",108.9,1,-47.6348594375815,-3.21979824707857,39479.15625,1493.34692382812,195.888702392578,0,773.393981933594,0.0530612245202065,0,159.601135253906,133.692306518555,197.245666503906,1,1336.25817871094,0,0,300,1
"PGM","269",11,"269_11",211926.74,9640545.44,"PFlog","233",116.5,1,-47.5920960095455,-3.24872047972924,38029.83203125,2265.96118164062,2425.87744140625,0,1557.15649414062,0,0,162.98420715332,132.922790527344,197.482330322266,1,1453.58801269531,0,0.0473469384014606,261.936340332031,1
"PGM","269",12,"269_12",208760.71,9645428.74,"PA","0",0,0,-47.6204510243989,-3.20451383448389,37163.76953125,637.325256347656,873.287719726562,0,0,0,0,77.885986328125,134.039367675781,197.140274047852,0.0832653045654297,796.189819335938,0,0.0881632640957832,3.88408160209656,0
"PGM","269",13,"269_13",208646.58,9649436.75,"PA","1.88",0.94,1,-47.6213854849178,-3.16828879615846,35013.1796875,2541.76147460938,855.949645996094,0,0,0,0,150,135.019454956055,196.671112060547,0.0661224499344826,1308.52526855469,0,0.00489795906469226,1.13387751579285,0
"PGM","269",14,"269_14",206297.48,9644942.34,"PA","0",0,0,-47.6426096397101,-3.20885240396024,39453.421875,198.667373657227,58.7087478637695,0,0,0,0,61.8304824829102,134.076141357422,196.960510253906,0.136326536536217,943.725769042969,0,0.128163263201714,14.2987756729126,0
"PGM","269",15,"269_15",204615.33,9645910.38,"PA","0",0,0,-47.6577113904441,-3.20006461230601,40309.0859375,695.335754394531,98.1346130371094,0,0,0,0,63.5148010253906,134.422576904297,196.688873291016,0.208163261413574,1494.60864257812,0,0.0938775539398193,36.7861213684082,0
"PGM","269",2,"269_2",207474.98,9647098.97,"PFlogbur","92.8",46.4,1,-47.6319727944181,-3.18938946493661,37250.640625,1339.48498535156,217.976196289062,0.777777791023254,120.058769226074,0.127346932888031,0,150,134.571014404297,196.739044189453,0.82693874835968,796.189819335938,5.55555534362793,0.465306133031845,17.9224491119385,0
"PGM","269",4,"269_4",208913.01,9643534.5,"PFlog","319.61",159.805,1,-47.6191253244645,-3.22163657620656,38223.89453125,1920.283203125,1628.935546875,0,944.549743652344,0.00653061224147677,0,160,133.574234008789,197.356430053711,1,1336.25817871094,0,0.0220408160239458,277.359985351562,1
"PGM","269",6,"269_6",209047.97,9647852.62,"PFlogbur","83.54",41.77,1,-47.6178126827569,-3.18261459238231,35542.171875,1126.73669433594,428.415161132812,1,154.564987182617,0.168979585170746,0,144.680862426758,134.590744018555,196.927505493164,0.737959206104279,796.189819335938,0,0.0979591831564903,29.8334693908691,0
"PGM","269",7,"269_7",211408.52,9643784.91,"PFlog","247.67",123.835,1,-47.5966812271593,-3.21943118395687,36176.91796875,358.718933105469,2181.7412109375,0.666666686534882,519.442626953125,0.0734693855047226,0,113.97119140625,133.533569335938,197.459167480469,0.994285702705383,1453.58801269531,0,0.134693875908852,142.388565063477,0.333333343267441
"PGM","269",8,"269_8",211456.03,9642036.06,"PFlogbur","363.36",181.68,1,-47.5962941817293,-3.23523781877465,37324.0234375,702.467590332031,3810.28002929688,0,765.6396484375,0.0367346927523613,0,110,133.199935913086,197.488311767578,1,1428.92077636719,0,0.0440816320478916,238.337951660156,1
"PGM","274",1,"274_1",236379.84,9645314.33,"PFlogbur","171.09",85.545,1,-47.3720987500107,-3.20615643518791,22607.728515625,399.378295898438,682.404113769531,0.777777791023254,271.930511474609,0.103673473000526,0.888888895511627,157.082748413086,133.838714599609,200.506622314453,0.728979587554932,4618.53369140625,0,0.186122447252274,98.357551574707,0.222222223877907
"PGM","274",10,"274_10",237642.67,9641151.42,"PA","0",0,0,-47.3608289322593,-3.243812595148,26694.17578125,1561.17663574219,201.985809326172,0,0,0.0767346918582916,0,170.107543945312,133.585922241211,201.521453857422,0.278367340564728,1215.10791015625,0,0.05795918405056,60.4000015258789,0
"PGM","274",11,"274_11",234962.77,9643963.15,"MA","0",0,0,-47.3848707265728,-3.21834018371431,24138.00390625,1297.96350097656,130.891143798828,0,0,0,0,180,133.841110229492,201.223266601562,0.0514285713434219,1478.69946289062,0,0.0204081628471613,8.91428565979004,0
"PGM","274",12,"274_12",238713.91,9642269.55,"MA","0",0,0,-47.3511715013875,-3.23372796350864,25578.662109375,2098.36303710938,314.366607666016,0,0,0,0,190,133.586868286133,200.958984375,0,1215.10791015625,0,0,0,0
"PGM","274",2,"274_2",237317.5,9642362.97,"PFlogbur","134.54",67.27,1,-47.3637278999,-3.23285420095353,25486.283203125,998.419494628906,182.468765258789,1,164.739196777344,0.0995918363332748,0,189.500030517578,133.657409667969,201.210357666016,0.562448978424072,1215.10791015625,0,0.0587755106389523,78.5828552246094,0
"PGM","274",3,"274_3",235366.97,9639403.41,"PFlog","398.22",199.11,1,-47.3813321005731,-3.25956493415873,28610.951171875,2640.91162109375,439.781524658203,0,213.567642211914,0.0873469412326813,0.666666686534882,190,133.174499511719,201.956436157227,0.687346935272217,3064.31518554688,7.55555534362793,0.0571428574621677,191.771423339844,0.555555582046509
"PGM","274",4,"274_4",238432.67,9639524.54,"PFlogbur","121.33",60.665,1,-47.3537582502112,-3.25853514678603,28319.453125,1659.20703125,481.091827392578,0,97.3629531860352,0.0604081638157368,0,183.916702270508,133.108505249023,201.426971435547,0.371428579092026,3064.31518554688,0.111111111938953,0.0432653054594994,112.553466796875,0.888888895511627
"PGM","274",5,"274_5",234002.45,9642572.79,"PFlogbur","109.56",54.78,1,-47.3935362558336,-3.23088742627357,25645.033203125,2296.36889648438,236.448654174805,0,464.796875,0.107755102217197,0,180,133.820022583008,201.826248168945,0.994285702705383,409.483734130859,0,0.106122449040413,193.255508422852,1
"PGM","274",6,"274_6",239824.99,9643275.91,"PFlogbur","140.29",70.145,1,-47.341158284012,-3.2246542619822,24600.34765625,2783.13623046875,370.313049316406,1,415.406188964844,0.110204078257084,0,190,133.625152587891,200.234024047852,0.91346937417984,4400.6982421875,0,0.0840816348791122,121.405715942383,0
